SCRIP,NAME,SECTOR
RELIANCE,Reliance Industries Ltd.,Refineries
TCS,Tata Consultancy Services Ltd.,IT - Software
HDFCBANK,HDFC Bank Ltd.,Bank - Private
INFY,Infosys Ltd.,IT - Software
ICICIBANK,ICICI Bank Ltd.,Bank - Private
HINDUNILVR,Hindustan Unilever Ltd.,Household &amp; Personal Products
HDFC,Housing Development Finance Corporation Ltd.,Finance - Housing
SBIN,State Bank Of India,Bank - Public
BAJFINANCE,Bajaj Finance Ltd.,Finance - NBFC
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication - Service  Provider
ABB,ABB India Ltd.,Electric Equipment
AEGISCHEM,Aegis Logistics Ltd.,Logistics
AMARAJABAT,Amara Raja Batteries Ltd.,Batteries
AMBASARABH,Ambalal Sarabhai Enterprises Ltd.,Pharmaceuticals &amp; Drugs
HDFC,Housing Development Finance Corporation Ltd.,Finance - Housing
ANDHRAPET,Andhra Petrochemicals Ltd.,Chemicals
ANSALAPI,Ansal Properties &amp; Infrastructure Ltd.,Construction - Real Estate
APPLEIND,Utique Enterprises Ltd.,Finance - Investment
ARUNASUGAR,Aruna Hotels Ltd.,Hotel
BOMDYEING,Bombay Dyeing And Manufacturing Company Ltd.,Textile
ASIANHOTNR,Asian Hotels (North) Ltd.,Hotel
ATUL,Atul Ltd.,Chemicals
ATVPROJ,ATV Projects India Ltd.,Engineering - Industrial Equipments
BAJAJELEC,Bajaj Electricals Ltd.,Consumer Durables - Domestic Appliances
BAJAJHIND,Bajaj Hindusthan Sugar Ltd.,Sugar
FORCEMOT,Force Motors Ltd.,Automobiles-Trucks-Lcv
BAJFINANCE,Bajaj Finance Ltd.,Finance - NBFC
BALRAMCHIN,Balrampur Chini Mills Ltd.,Sugar
BANCOINDIA,Banco Products (India) Ltd.,Auto Ancillary
CENTURYTEX,Century Textiles &amp; Industries Ltd.,Diversified
BANARISUG,Bannari Amman Sugars Ltd.,Sugar
BASF,BASF India Ltd.,Pesticides &amp; Agrochemicals
BATAINDIA,Bata India Ltd.,Retailing
BEML,BEML Ltd.,Engineering - Industrial Equipments
BEL,Bharat Electronics Ltd.,Engineering - Industrial Equipments
BEPL,Bhansali Engineering Polymers Ltd.,Chemicals
TATASTLBSL,Tata Steel BSL Ltd.,Steel &amp; Iron Products
BIHARSPONG,Bihar Sponge Iron Ltd.,Steel-Sponge Iron-Pig Iron
BIRLACABLE,Birla Cable Ltd.,Cable
BLUESTARCO,Blue Star Ltd.,Air Conditioners
GEORGFISCH,Disa India Ltd.,Engineering - Industrial Equipments
500069,BNK Capital Markets Ltd.,Finance - NBFC
BPL,BPL Ltd.,Electronics - Components
OAL,Oriental Aromatics Ltd.,Chemicals
CENTEXT,Century Extrusions Ltd.,Aluminium &amp; Aluminium Products
CESC,CESC Ltd.,Power Generation-Distribution
CHAMBLFERT,Chambal Fertilisers and Chemicals Ltd.,Fertilizers
EXIDEIND,Exide Industries Ltd.,Batteries
CIPLA,Cipla Ltd.,Pharmaceuticals &amp; Drugs
DICIND,DIC India Ltd.,Chemicals
CRISIL,CRISIL Ltd.,Ratings
CGPOWER,CG Power and Industrial Solutions Ltd.,Electric Equipment
DABUR,Dabur India Ltd.,Household &amp; Personal Products
DALMIASUG,Dalmia Bharat Sugar And Industries Ltd.,Sugar
ARVIND,Arvind Ltd.,Textile
BALLARPUR,Ballarpur Industries Ltd.,Paper &amp; Paper Products
BHEL,Bharat Heavy Electricals Ltd.,Engineering - Industrial Equipments
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Refineries
IFCI,IFCI Ltd.,Finance Term Lending
MTNL,Mahanagar Telephone Nigam Ltd.,Telecommunication - Service  Provider
MRPL,Mangalore Refinery And Petrochemicals Ltd.,Refineries
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Refineries
RELCAPITAL,Reliance Capital Ltd.,Finance - NBFC
SBIN,State Bank Of India,Bank - Public
SAIL,Steel Authority Of India Ltd.,Steel &amp; Iron Products
TITAN,Titan Company Ltd.,Diamond  &amp;  Jewellery
IDBI,IDBI Bank Ltd.,Bank - Private
DCW,DCW Ltd.,Chemicals
DHAMPURSUG,Dhampur Sugar Mills Ltd.,Sugar
500120,Diamines &amp; Chemicals Ltd.,Chemicals
DRBECK,Elantas Beck India Ltd.,Chemicals
DRREDDY,Dr. Reddy's Laboratories Ltd.,Pharmaceuticals &amp; Drugs
EIDPARRY,E.I.D. - Parry (India) Ltd.,Sugar
PGHL,Procter &amp; Gamble Health Ltd.,Pharmaceuticals &amp; Drugs
ELECTCAST,Electrosteel Castings Ltd.,Castings-Forgings
ESABINDIA,Esab India Ltd.,Electrodes &amp; Welding Equipment
EPL,EPL Ltd.,Plastic Products
ESTER,Ester Industries Ltd.,Plastic Products
FGPIND,FGP Ltd.,Miscellaneous
500143,PH Capital Ltd.,Finance - Investment
FINCABLES,Finolex Cables Ltd.,Cable
FLATPROD,John Cockrill India Ltd.,Engineering - Industrial Equipments
UFLEX,Uflex Ltd.,Packaging
FOSECOIND,Foseco India Ltd.,Chemicals
GOLDENTOBC,Golden Tobacco Ltd.,Cigarettes-Tobacco
GANESHBE,Ganesh Benzoplast Ltd.,Chemicals
GLOBABOARD,Metroglobal Ltd.,Trading
GTL,GTL Ltd.,Telecommunication - Service  Provider
GODFRYPHLP,Godfrey Phillips India Ltd.,Cigarettes-Tobacco
GODREJIND,Godrej Industries Ltd.,Chemicals
KANSAINER,Kansai Nerolac Paints Ltd.,Paints
GOODRICKE,Goodricke Group Ltd.,Tea-Coffee
GOODYEAR,Goodyear India Ltd.,Tyres &amp; Allied
GTNIND,GTN Industries Ltd.,Textile - Spinning
GHCL,GHCL Ltd.,Chemicals
GFLLIMITED,GFL Ltd.,Chemicals
GLFL,Gujarat Lease Financing Ltd.,Finance - NBFC
HCL-INSYS,HCL Infosystems Ltd.,Trading
HDFCBANK,HDFC Bank Ltd.,Bank - Private
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile Two &amp; Three Wheelers
HFCL,HFCL Ltd.,Telecommunication - Equipment
HSCL,Himadri Speciality Chemical Ltd.,Chemicals
HCC,Hindustan Construction Company Ltd.,Engineering - Construction
HINDOILEXP,Hindustan Oil Exploration Company Ltd.,Oil Exploration
HSIL,HSIL Ltd.,Ceramics-Marble-Granite-Sanitaryware
HINDZINC,Hindustan Zinc Ltd.,Metal - Non Ferrous
NXTDIGITAL,NXTDigital Ltd.,TV Broadcasting &amp; Software Production
HMT,HMT Ltd.,Automobiles-Tractors
PRAGBOSIMI,Prag Bosimi Synthetics Ltd.,Textile
HLVLTD,HLV Ltd.,Hotel
IGPL,IG Petrochemicals Ltd.,Chemicals
INDIAGLYCO,India Glycols Ltd.,Chemicals
INDIALEASE,India Lease Development Ltd.,Finance - NBFC
500206,Margo Finance Ltd.,Finance - NBFC
INDORAMA,Indo Rama Synthetics (India) Ltd.,Textile - Manmade  Fibres
INFY,Infosys Ltd.,IT - Software
INGERRAND,Ingersoll-Rand (India) Ltd.,Compressors - Pumps
INSILCO,Insilco Ltd.,Chemicals
INTLTRAVHS,International Travel House Ltd.,Travel Services
IONEXCHANG,Ion Exchange (India) Ltd.,Engineering - Industrial Equipments
ATFL,Agro Tech Foods Ltd.,Consumer Food
JISLJALEQS,Jain Irrigation Systems Ltd.,Plastic Products
JASCHIND,Jasch Industries Ltd.,Textile - Weaving
JCT,JCT Ltd.,Textile
CONSOFINVT,Consolidated Finvest &amp; Holdings Ltd.,Finance - NBFC
JINDALPOLY,Jindal Poly Films Ltd.,Plastic Products
JSWSTEEL,JSW Steel Ltd.,Steel &amp; Iron Products
UMANGDAIRY,Umang Dairies Ltd.,Consumer Food
KAJARIACER,Kajaria Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware
KAKATCEM,Kakatiya Cement Sugar &amp; Industries Ltd.,Cement &amp; Construction Materials
KSL,Kalyani Steels Ltd.,Steel &amp; Iron Products
KANELOIL,Kanel Industries Ltd.,Agriculture
WHIRLPOOL,Whirlpool Of India Ltd.,Consumer Durables - Domestic Appliances
KGDENIM,KG Denim Ltd.,Textile - Weaving
KINETICENG,Kinetic Engineering Ltd.,Auto Ancillary
KIRLOSBROS,Kirloskar Brothers Ltd.,Engineering - Industrial Equipments
KIRLOSIND,Kirloskar Industries Ltd.,Engineering - Industrial Equipments
KIRLFER,Kirloskar Ferrous Industries Ltd.,Castings-Forgings
KIRLOSELEC,Envair Electrodyne Ltd.,Engineering - Industrial Equipments
KOTAKBANK,Kotak Mahindra Bank Ltd.,Bank - Private
KRISNAFILA,Krishna Filament Industries Ltd.,Plastic Products
KSB,KSB Ltd.,Engineering - Industrial Equipments
LGBBROSLTD,LG Balakrishnan &amp; Bros Ltd.,Auto Ancillary
TRENT,Trent Ltd.,Retailing
LAXMIMACH,Lakshmi Machine Works Ltd.,Textile - Machinery
LICHSGFIN,LIC Housing Finance Ltd.,Finance - Housing
LUPIN,Lupin Ltd.,Pharmaceuticals &amp; Drugs
LYKALABS,Lyka Labs Ltd.,Pharmaceuticals &amp; Drugs
RAMCOCEM,The Ramco Cements Ltd.,Cement &amp; Construction Materials
MAFATLAIND,Mafatlal Industries Ltd.,Textile
MAHSEAMLES,Maharashtra Seamless Ltd.,Steel &amp; Iron Products
MAHSCOOTER,Maharashtra Scooters Ltd.,Auto Ancillary
MAJESAUTO,Majestic Auto Ltd.,Electric Equipment
MANALIPETC,Manali Petrochemicals Ltd.,Chemicals
MFSL,Max Financial Services Ltd.,Finance - Others
MESCOPHARM,Mesco Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs
MIDINDIA,Mid India Industries Ltd.,Textile - Spinning
MIRCELECTR,Mirc Electronics Ltd.,Consumer Durables - Electronics
CENTENKA,Century Enka Ltd.,Textile
MODIALKALI,Lords Chloro Alkali Ltd.,Chemicals
SPICEJET,SpiceJet Ltd.,Airlines
MOREPENLAB,Morepen Laboratories Ltd.,Pharmaceuticals &amp; Drugs
MRF,MRF Ltd.,Tyres &amp; Allied
HEIDELBERG,Heidelberg Cement India Ltd.,Cement &amp; Construction Materials
NCC,NCC Ltd.,Engineering - Construction
VEDL,Vedanta Ltd.,Metal - Non Ferrous
NAHARSPING,Nahar Spinning Mills Ltd.,Textile - Spinning
NATPEROXID,National Peroxide Ltd.,Chemicals
GRASIM,Grasim Industries Ltd.,Diversified
PEL,Piramal Enterprises Ltd.,Pharmaceuticals &amp; Drugs
NIITLTD,NIIT Ltd.,IT - Education
JKSYNTHETC,Jaykay Enterprises Ltd.,Miscellaneous
NIRLON,Nirlon Ltd.,Engineering - Construction
ONGC,Oil &amp; Natural Gas Corporation Ltd.,Oil Exploration
OILCOUNTUB,Oil Country Tubular Ltd.,Steel &amp; Iron Products
ORIENTHOT,Oriental Hotels Ltd.,Hotel
OSWALAGRO,Oswal Agro Mills Ltd.,Diversified
OSWALSUG,Indian Sucrose Ltd.,Sugar
RELIANCE,Reliance Industries Ltd.,Refineries
PILITA,PIL ITALICA Lifestyle Ltd.,Plastic Products
RAYMOND,Raymond Ltd.,Textile - Weaving
PIDILITIND,Pidilite Industries Ltd.,Chemicals
500333,Pix Transmissions Ltd.,Rubber  Products
BIRLACORPN,Birla Corporation Ltd.,Diversified
SURYAROSNI,Surya Roshni Ltd.,Diversified
PRIMESECU,Prime Securities Ltd.,Finance - Stock Broking
PRSMJOHNSN,Prism Johnson Ltd.,Diversified
RAIN,Rain Industries Ltd.,Petrochemicals
AMJLAND,AMJ Land Holdings Ltd.,Construction - Real Estate
PUNJCOMMU,Punjab Communications Ltd.,Telecommunication - Equipment
RSWM,RSWM Ltd.,Textile
RAJSREESUG,Rajshree Sugars &amp; Chemicals Ltd.,Sugar
RALLIS,Rallis India Ltd.,Pesticides &amp; Agrochemicals
RAMANEWS,Shree Rama Newsprint Ltd.,Paper &amp; Paper Products
500357,Rama Paper Mills Ltd.,Paper &amp; Paper Products
RAMAPETRO,Rama Petrochemicals Ltd.,Construction - Real Estate
500360,Rapicut Carbides Ltd.,Engineering - Industrial Equipments
REMIMETAL,Welspun Specialty Solutions Ltd.,Steel &amp; Iron Products
ROLTA,Rolta India Ltd.,IT - Software
RUBFILINTL,Rubfila International Ltd.,Rubber  Products
RUCHI,Ruchi Soya Industries Ltd.,Consumer Food
SALORAINTL,Salora International Ltd.,Trading
JINDALSAW,Jindal Saw Ltd.,Steel &amp; Iron Products
JKLAKSHMI,JK Lakshmi Cement Ltd.,Cement &amp; Construction Materials
SHREECEM,Shree Cement Ltd.,Cement &amp; Construction Materials
500388,Shree Krishna Paper Mills &amp; Industries Ltd.,Paper &amp; Paper Products
RELINFRA,Reliance Infrastructure Ltd.,Power Generation-Distribution
TATAPOWER,Tata Power Company Ltd.,Power Generation-Distribution
SPMLINFRA,SPML Infra Ltd.,Engineering - Construction
SUNDRMFAST,Sundram Fasteners Ltd.,Trading
SUNFLAG,Sunflag Iron And Steel Company Ltd.,Steel &amp; Iron Products
SUPPETRO,Supreme Petrochem Ltd.,Chemicals
SWARAJENG,Swaraj Engines Ltd.,Diesel Engines
TATAELXSI,Tata Elxsi Ltd.,IT - Software
ACC,ACC Ltd.,Cement &amp; Construction Materials
THERMAX,Thermax Ltd.,Engineering - Industrial Equipments
TIRUMALCHM,Thirumalai Chemicals Ltd.,Chemicals
THOMASCOOK,Thomas Cook (India) Ltd.,Travel Services
TIMEXWATCH,Timex Group India Ltd.,Watches &amp; Accessories
TOKYOPLAST,Tokyo Plast International Ltd.,Plastic Products
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs
TPINDIA,TPI India Ltd.,Plastic Products
TRANSCHEM,Transchem Ltd.,Agriculture
AMBUJACEM,Ambuja Cements Ltd.,Cement &amp; Construction Materials
500426,UTL Industries Ltd.,Trading
UNIENTER,Uniphos Enterprises Ltd.,Trading
VHL,Vardhman Holdings Ltd.,Finance - NBFC
HINDALCO,Hindalco Industries Ltd.,Metal - Non Ferrous
WSTCSTPAPR,West Coast Paper Mills Ltd.,Paper &amp; Paper Products
HOCL,Hindustan Organic Chemicals Ltd.,Chemicals
MATHPLATT,MPIL Corporation Ltd.,Miscellaneous
PASUPTAC,Pasupati Acrylon Ltd.,Textile - Manmade  Fibres
PHILCORP,Kore Foods Ltd.,Consumer Food
PGHH,Procter &amp; Gamble Hygiene and Health Care Ltd.,Household &amp; Personal Products
MUKANDLTD,Mukand Ltd.,Steel &amp; Iron Products
BBOX,Black Box Ltd.,Telecommunication - Equipment
UCALFUEL,Ucal Fuel Systems Ltd.,Auto Ancillary
HARRMALAYA,Harrisons Malayalam Ltd.,Agriculture
FEDERALBNK,The Federal Bank Ltd.,Bank - Private
TATASTEEL,Tata Steel Ltd.,Steel &amp; Iron Products
SKFINDIA,SKF India Ltd.,Bearings
ASHOKLEY,Ashok Leyland Ltd.,Automobiles-Trucks-Lcv
CUMMINSIND,Cummins India Ltd.,Diesel Engines
TATACOMM,Tata Communications Ltd.,Telecommunication - Service  Provider
ABBOTINDIA,Abbott India Ltd.,Pharmaceuticals &amp; Drugs
BAJAJHLDNG,Bajaj Holdings &amp; Investment Ltd.,Finance - NBFC
BHARATFORG,Bharat Forge Ltd.,Forgings
ESCORTS,Escorts Ltd.,Automobiles-Tractors
HINDMOTORS,Hindustan Motors Ltd.,Automobiles - Passenger Cars
LT,Larsen &amp; Toubro Ltd.,Engineering - Construction
M&M,Mahindra &amp; Mahindra Ltd.,Automobiles - Passenger Cars
BOSCHLTD,Bosch Ltd.,Auto Ancillary
PREMIER,Premier Ltd.,Engineering - Industrial Equipments
BPCL,Bharat Petroleum Corporation Ltd.,Refineries
SIEMENS,Siemens Ltd.,Electric Equipment
TATAMOTORS,Tata Motors Ltd.,Automobiles-Trucks-Lcv
VOLTAS,Voltas Ltd.,Air Conditioners
GESHIP,The Great Eastern Shipping Company Ltd.,Shipping
DEEPAKFERT,Deepak Fertilisers And Petrochemicals Corporation Ltd.,Fertilizers
EXCELINDUS,Excel Industries Ltd.,Pesticides &amp; Agrochemicals
GARWARPOLY,Garware Hi-Tech Films Ltd.,Plastic Products
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs
GNFC,Gujarat Narmada Valley Fertilizers &amp; Chemicals Ltd.,Fertilizers
NOVARTIND,Novartis India Ltd.,Trading
SANOFI,Sanofi India Ltd.,Pharmaceuticals &amp; Drugs
PFIZER,Pfizer Ltd.,Pharmaceuticals &amp; Drugs
GSFC,Gujarat State Fertilizers &amp; Chemicals Ltd.,Fertilizers
HINDUNILVR,Hindustan Unilever Ltd.,Household &amp; Personal Products
AKZOINDIA,Akzo Nobel India Ltd.,Paints
NOCIL,Nocil Ltd.,Chemicals
TATACHEM,Tata Chemicals Ltd.,Chemicals
TNPETRO,Tamilnadu Petroproducts Ltd.,Petrochemicals
ZUARIGLOB,Zuari Global Ltd.,Trading
NESTLEIND,Nestle India Ltd.,Consumer Food
TATACONSUM,Tata Consumer Products Ltd.,Tea-Coffee
ASIANPAINT,Asian Paints Ltd.,Paints
BRITANNIA,Britannia Industries Ltd.,Consumer Food
COLPAL,Colgate-Palmolive (India) Ltd.,Household &amp; Personal Products
EIHOTEL,EIH Ltd.,Hotel
INDHOTEL,The Indian Hotels Company Ltd.,Hotel
CASTROLIND,Castrol India Ltd.,Lubricants
ITC,ITC Ltd.,Cigarettes-Tobacco
APOLLOTYRE,Apollo Tyres Ltd.,Tyres &amp; Allied
CEATLTD,Ceat Ltd.,Tyres &amp; Allied
MODIRUBBER,Modi Rubber Ltd.,Miscellaneous
FINPIPE,Finolex Industries Ltd.,Plastic Products
501110,Sunrise Industrial Traders Ltd.,Finance - NBFC
501148,Dalal Street Investments Ltd.,Finance - Investment
CENTRUM,Centrum Capital Ltd.,Finance - Investment
501151,Kartik Investments Trust Ltd.,Finance - Investment
TCIFINANCE,TCI Finance Ltd.,Finance - NBFC
IITL,Industrial Investment Trust Ltd.,Finance - NBFC
501298,Industrial &amp; Prudential Investment Company Ltd.,Finance - NBFC
TATAINVEST,Tata Investment Corporation Ltd.,Finance - NBFC
501311,Jayabharat Credit Ltd.,Finance - NBFC
501314,Prismx Global Ventures Ltd.,Finance - Investment
MOTOGENFIN,The Motor &amp; General Finance Ltd.,Finance - NBFC
501351,Rapid Investments Ltd.,Finance - NBFC
501370,Walchand Peoplefirst Ltd.,Finance - Investment
501391,WH Brady &amp; Company Ltd.,Miscellaneous
501421,TechNVision Ventures Ltd.,IT - Software
501423,Shaily Engineering Plastics Ltd.,Plastic Products
BBTC,Bombay Burmah Trading Corporation Ltd.,Agriculture
501430,Bombay Cycle &amp; Motor Agency Ltd.,Miscellaneous
GREAVESCOT,Greaves Cotton Ltd.,Diesel Engines
501477,Muller &amp; Phipps (India) Ltd.,Household &amp; Personal Products
501622,Amalgamated Electricity Company Ltd.,Power Generation-Distribution
501700,Indianivesh Ltd.,Finance - NBFC
COASTCORP,Coastal Corporation Ltd.,Consumer Food
CHOWGULSTM,Chowgule Steamships Ltd.,Shipping
GLOBOFFS,Global Offshore Services Ltd.,Shipping
501945,Dhenu Buildcon Infra Ltd.,Finance - Stock Broking
ASOCSTONE,ASI Industries Ltd.,Ceramics-Marble-Granite-Sanitaryware
SAGCEM,Sagar Cements Ltd.,Cement &amp; Construction Materials
DECCANCE,Deccan Cements Ltd.,Cement &amp; Construction Materials
MANGLMCEM,Mangalam Cement Ltd.,Cement &amp; Construction Materials
NCLIND,NCL Industries Ltd.,Cement &amp; Construction Materials
SAURASHCEM,Saurashtra Cement Ltd.,Cement &amp; Construction Materials
SHREDIGCEM,Shree Digvijay Cement Company Ltd.,Cement &amp; Construction Materials
BORORENEW,Borosil Renewables Ltd.,Glass
502250,Lerthai Finance Ltd.,Refractories
502271,Raasi Refractories Ltd.,Refractories
TRIVENSHET,Triveni Glass Ltd.,Glass
502294,Nilachal Refractories Ltd.,Refractories
ANDHRAPAP,Andhra Paper Ltd.,Paper &amp; Paper Products
BALKRISIND,Balkrishna Industries Ltd.,Tyres &amp; Allied
ORIENTPPR,Orient Paper &amp; Industries Ltd.,Paper &amp; Paper Products
502445,Citadel Realty &amp; Developers Ltd.,Construction - Real Estate
ROLLT,Rollatainers Ltd.,Engineering - Industrial Equipments
SESHAPAPER,Seshasayee Paper and Boards Ltd.,Paper &amp; Paper Products
502460,Solid Containers Ltd.,Paper &amp; Paper Products
502563,Shree Bhawani Paper Mills Ltd.,Paper &amp; Paper Products
502587,Nath Industries Ltd.,Paper &amp; Paper Products
502589,Vapi Enterprise Ltd.,Paper &amp; Paper Products
SINTEX,Sintex Industries Ltd.,Textile
DCM,DCM Ltd.,Textile - Spinning
FORBESGOK,Forbes &amp; Company Ltd.,Engineering - Industrial Equipments
502873,HP Cotton Textile Mills Ltd.,Textile
502893,United Interactive Ltd.,BPO-ITeS
502901,Jamshri Realty Ltd.,Textile
502933,Katare Spinning Mills Ltd.,Textile - Spinning
KESORAMIND,Kesoram Industries Ltd.,Diversified
LAKSHMIMIL,Lakshmi Mills Company Ltd.,Textile
VTL,Vardhman Textiles Ltd.,Textile
PENINLAND,Peninsula Land Ltd.,Construction - Real Estate
PASUPATSPG,Pasupati Spinning &amp; Weaving Mills Ltd.,Textile - Spinning
PHOENIXLTD,The Phoenix Mills Ltd.,Construction - Real Estate
MARATHON,Marathon Nextgen Realty Ltd.,Construction - Real Estate
503127,Raja Bahadur International Ltd.,Textile - Spinning
503162,Reliance Chemotex Industries Ltd.,Textile - Spinning
RUBYMILLS,The Ruby Mills Ltd.,Textile
503229,Simplex Realty Ltd.,Construction - Real Estate
SWANENERGY,Swan Energy Ltd.,Textile
503349,Victoria Mills Ltd.,Construction - Real Estate
503624,Svaraj Trading &amp; Agencies Ltd.,Finance - Investment
503641,Zodiac Ventures Ltd.,Finance - Investment
503657,Veer Energy &amp; Infrastructure Ltd.,Power Generation-Distribution
503659,SW Investments Ltd.,Finance - Investment
503669,KK Fincorp Ltd.,Finance - NBFC
503675,Wagend Infra Venture Ltd.,Finance - Investment
503691,Sahara One Media &amp; Entertainment Ltd.,Film Production
BANSWRAS,Banswara Syntex Ltd.,Textile - Manmade  Fibres
503772,Modella Woollens Ltd.,Trading
MODIPON,Modipon Ltd.,Miscellaneous
SHRIDINESH,Shri Dinesh Mills Ltd.,Textile
SRF,SRF Ltd.,Diversified
SIYSIL,Siyaram Silk Mills Ltd.,Textile - Weaving
503816,Swadeshi Polytex Ltd.,Miscellaneous
SHRERAJSYN,Shree Rajasthan Syntex Ltd.,Textile - Manmade  Fibres
503863,Shree Manufacturing Company Ltd.,Textile - Spinning
BBL,Bharat Bijlee Ltd.,Electric Equipment
ELPROINTL,Elpro International Ltd.,Construction - Real Estate
EMCO,Emco Ltd.,Engineering - Construction
504028,GEE Ltd.,Electrodes &amp; Welding Equipment
HIRECT,Hind Rectifiers Ltd.,Electric Equipment
NIPPOBATRY,Indo-National Ltd.,Batteries
ZENSARTECH,Zensar Technologies Ltd.,IT - Software
504076,Jyoti Ltd.,Electric Equipment
504080,JSL Industries Ltd.,Electric Equipment
504084,Kaycee Industries Ltd.,Electric Equipment
INDOKEM,Indokem Ltd.,Chemicals
LAKHNNATNL,Panasonic Energy India Company Ltd.,Batteries
NELCO,Nelco Ltd.,Engineering - Construction
PERMAGNET,Permanent Magnets Ltd.,Electric Equipment
504176,High Energy Batteries (India) Ltd.,Batteries
STANDRDBAT,Standard Batteries Ltd.,Trading
UNIVCABLES,Universal Cables Ltd.,Cable
WSI,W.S. Industries (India) Ltd.,Electric Equipment
504240,Delton Cables Ltd.,Cable
LAKSELECON,Lakshmi Electrical Control Systems Ltd.,Electric Equipment
504273,Modulex Construction Technologies Ltd.,Electric Equipment
DELTAMAGNT,Delta Manufacturing Ltd.,Electric Equipment
504335,Pazel International Ltd.,Trading
504340,Confidence Finance And Trading Ltd.,Trading
504341,Ravindra Energy Ltd.,Power Generation-Distribution
504351,Empower India Ltd.,Trading
504356,Multipurpose Trading &amp; Agencies Ltd.,Miscellaneous
504375,IDream Film Infrastructure Company Ltd.,IT - Software
504378,Nyssa Corporation Ltd.,Trading
504380,Flomic Global Logistics Ltd.,Finance - Investment
504392,Krishna Ventures Ltd.,Engineering
504397,Ganesh Holdings Ltd.,Finance - NBFC
504398,SJ Corporation Ltd.,Diamond  &amp;  Jewellery
504605,Uni Abex Alloy Products Ltd.,Castings-Forgings
SARDAEN,Sarda Energy &amp; Minerals Ltd.,Steel &amp; Iron Products
504646,Bhagwati Autocast Ltd.,Castings-Forgings
504648,Bombay Wire Ropes Ltd.,Steel &amp; Iron Products
GALPOWTEL,Galada Power &amp; Telecommunication Ltd.,Aluminium &amp; Aluminium Products
504731,Indian Bright Steel Company Ltd.,Steel &amp; Iron Products
INDIANHUME,Indian Hume Pipe Company Ltd.,Engineering - Construction
504746,Indian Link Chain Manufacturers Ltd.,Trading
504786,Investment &amp; Precision Castings Ltd.,Castings-Forgings
504810,Informed Technologies India Ltd.,BPO-ITeS
504840,Kaira Can Company Ltd.,Diversified
ORIENTABRA,Orient Abrasives Ltd.,Refractories
504882,National Standard (India) Ltd.,Metal - Ferrous
504908,Duncan Engineering Ltd.,Engineering - Industrial Equipments
504918,Sandur Manganese &amp; Iron Ores Ltd.,Mining &amp; Minerals
504959,Stovec Industries Ltd.,Textile - Machinery
TATAYODOGA,Tayo Rolls Ltd.,Engineering - Industrial Equipments
TINPLATE,Tinplate Company Of India Ltd.,Steel &amp; Iron Products
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Finance - Investment
504988,Welcast Steels Ltd.,Castings-Forgings
AUTOAXLES,Automotive Axles Ltd.,Auto Ancillary
AUTOCORP,Automobile Corporation of Goa Ltd.,Auto Ancillary
SETCO,Setco Automotive Ltd.,Auto Ancillary
505100,India Radiators Ltd.,Auto Ancillary
505141,Scooters India Ltd.,Automobile Two &amp; Three Wheelers
TALBROAUTO,Talbros Automotive Components Ltd.,Auto Ancillary
ZFSTEERING,ZF Steering Gear (India) Ltd.,Auto Ancillary
SMLISUZU,SML Isuzu Ltd.,Automobiles-Trucks-Lcv
TIL,TIL Ltd.,Engineering - Industrial Equipments
EICHERMOT,Eicher Motors Ltd.,Automobile Two &amp; Three Wheelers
505212,Jainex Aamcol Ltd.,Engineering - Industrial Equipments
ALFREDHERB,Alfred Herbert (India) Ltd.,Finance - NBFC
505232,Veljan Denison Ltd.,Compressors - Pumps
DYNAMATECH,Dynamatic Technologies Ltd.,Compressors - Pumps
505250,GG Dandekar Machine Works Ltd.,Engineering - Industrial Equipments
GMMPFAUDLR,GMM Pfaudler Ltd.,Engineering - Industrial Equipments
KGKHOSLA,Kirloskar Pneumatic Company Ltd.,Compressors - Pumps
505285,Tulive Developers Ltd.,Engineering
505299,KPT Industries Ltd.,Engineering - Industrial Equipments
505302,Lakshmi Automatic Loom Works Ltd.,Textile - Machinery
505320,Lynx Machinery &amp; Commercials Ltd.,Miscellaneous
MANUGRAPH,Manugraph India Ltd.,Engineering - Industrial Equipments
505336,Mirch Technologies (India) Ltd.,Engineering - Industrial Equipments
505343,Monotype India Ltd.,Finance - Stock Broking
NESCO,Nesco Ltd.,Engineering - Industrial Equipments
505358,Integra Engineering India Ltd.,Textile - Machinery
REVATHI,Revathi Equipment Ltd.,Engineering - Industrial Equipments
TEXINFRA,Texmaco Infrastructure &amp; Holdings Ltd.,Diversified
WENDT,Wendt (India) Ltd.,Abrasives
505504,Sindu Valley Technologies Ltd.,IT - Software
RESPONIND,Responsive Industries Ltd.,Plastic Products
505515,Shyamkamal Investments Ltd.,Finance - NBFC
505523,Maharashtra Corporation Ltd.,Trading
DOLATALGO,Dolat Algotech Ltd.,Finance - Stock Broking
WESTLIFE,Westlife Development Ltd.,Finance - Others
