NAME,SECTOR,SCRIP
Reliance Industries Ltd.,Refineries,RELIANCE
Tata Consultancy Services Ltd.,IT - Software,TCS
HDFC Bank Ltd.,Bank - Private,HDFCBANK
Infosys Ltd.,IT - Software,INFY
ICICI Bank Ltd.,Bank - Private,ICICIBANK
Hindustan Unilever Ltd.,Household &amp; Personal Products,HINDUNILVR
Housing Development Finance Corporation Ltd.,Finance - Housing,HDFC
State Bank Of India,Bank - Public,SBIN
Bajaj Finance Ltd.,Finance - NBFC,BAJFINANCE
Bharti Airtel Ltd.,Telecommunication - Service  Provider,BHARTIARTL
ABB India Ltd.,Electric Equipment,ABB
Aegis Logistics Ltd.,Logistics,AEGISCHEM
Amara Raja Batteries Ltd.,Batteries,AMARAJABAT
Ambalal Sarabhai Enterprises Ltd.,Pharmaceuticals &amp; Drugs,AMBASARABH
Housing Development Finance Corporation Ltd.,Finance - Housing,HDFC
Andhra Petrochemicals Ltd.,Chemicals,ANDHRAPET
Ansal Properties &amp; Infrastructure Ltd.,Construction - Real Estate,ANSALAPI
Utique Enterprises Ltd.,Finance - Investment,APPLEIND
Aruna Hotels Ltd.,Hotel,ARUNASUGAR
Bombay Dyeing And Manufacturing Company Ltd.,Textile,BOMDYEING
Asian Hotels (North) Ltd.,Hotel,ASIANHOTNR
Atul Ltd.,Chemicals,ATUL
ATV Projects India Ltd.,Engineering - Industrial Equipments,ATVPROJ
Bajaj Electricals Ltd.,Consumer Durables - Domestic Appliances,BAJAJELEC
Bajaj Hindusthan Sugar Ltd.,Sugar,BAJAJHIND
Force Motors Ltd.,Automobiles-Trucks-Lcv,FORCEMOT
Bajaj Finance Ltd.,Finance - NBFC,BAJFINANCE
Balrampur Chini Mills Ltd.,Sugar,BALRAMCHIN
Banco Products (India) Ltd.,Auto Ancillary,BANCOINDIA
Century Textiles &amp; Industries Ltd.,Diversified,CENTURYTEX
Bannari Amman Sugars Ltd.,Sugar,BANARISUG
BASF India Ltd.,Pesticides &amp; Agrochemicals,BASF
Bata India Ltd.,Retailing,BATAINDIA
BEML Ltd.,Engineering - Industrial Equipments,BEML
Bharat Electronics Ltd.,Engineering - Industrial Equipments,BEL
Bhansali Engineering Polymers Ltd.,Chemicals,BEPL
Tata Steel BSL Ltd.,Steel &amp; Iron Products,TATASTLBSL
Bihar Sponge Iron Ltd.,Steel-Sponge Iron-Pig Iron,BIHARSPONG
Birla Cable Ltd.,Cable,BIRLACABLE
Blue Star Ltd.,Air Conditioners,BLUESTARCO
Disa India Ltd.,Engineering - Industrial Equipments,GEORGFISCH
BNK Capital Markets Ltd.,Finance - NBFC,500069
BPL Ltd.,Electronics - Components,BPL
Oriental Aromatics Ltd.,Chemicals,OAL
Century Extrusions Ltd.,Aluminium &amp; Aluminium Products,CENTEXT
CESC Ltd.,Power Generation-Distribution,CESC
Chambal Fertilisers and Chemicals Ltd.,Fertilizers,CHAMBLFERT
Exide Industries Ltd.,Batteries,EXIDEIND
Cipla Ltd.,Pharmaceuticals &amp; Drugs,CIPLA
DIC India Ltd.,Chemicals,DICIND
CRISIL Ltd.,Ratings,CRISIL
CG Power and Industrial Solutions Ltd.,Electric Equipment,CGPOWER
Dabur India Ltd.,Household &amp; Personal Products,DABUR
Dalmia Bharat Sugar And Industries Ltd.,Sugar,DALMIASUG
Arvind Ltd.,Textile,ARVIND
Ballarpur Industries Ltd.,Paper &amp; Paper Products,BALLARPUR
Bharat Heavy Electricals Ltd.,Engineering - Industrial Equipments,BHEL
Hindustan Petroleum Corporation Ltd.,Refineries,HINDPETRO
IFCI Ltd.,Finance Term Lending,IFCI
Mahanagar Telephone Nigam Ltd.,Telecommunication - Service  Provider,MTNL
Mangalore Refinery And Petrochemicals Ltd.,Refineries,MRPL
Chennai Petroleum Corporation Ltd.,Refineries,CHENNPETRO
Reliance Capital Ltd.,Finance - NBFC,RELCAPITAL
State Bank Of India,Bank - Public,SBIN
Steel Authority Of India Ltd.,Steel &amp; Iron Products,SAIL
Titan Company Ltd.,Diamond  &amp;  Jewellery,TITAN
IDBI Bank Ltd.,Bank - Private,IDBI
DCW Ltd.,Chemicals,DCW
Dhampur Sugar Mills Ltd.,Sugar,DHAMPURSUG
Diamines &amp; Chemicals Ltd.,Chemicals,500120
Elantas Beck India Ltd.,Chemicals,DRBECK
Dr. Reddy's Laboratories Ltd.,Pharmaceuticals &amp; Drugs,DRREDDY
E.I.D. - Parry (India) Ltd.,Sugar,EIDPARRY
Procter &amp; Gamble Health Ltd.,Pharmaceuticals &amp; Drugs,PGHL
Electrosteel Castings Ltd.,Castings-Forgings,ELECTCAST
Esab India Ltd.,Electrodes &amp; Welding Equipment,ESABINDIA
EPL Ltd.,Plastic Products,EPL
Ester Industries Ltd.,Plastic Products,ESTER
FGP Ltd.,Miscellaneous,FGPIND
PH Capital Ltd.,Finance - Investment,500143
Finolex Cables Ltd.,Cable,FINCABLES
John Cockrill India Ltd.,Engineering - Industrial Equipments,FLATPROD
Uflex Ltd.,Packaging,UFLEX
Foseco India Ltd.,Chemicals,FOSECOIND
Golden Tobacco Ltd.,Cigarettes-Tobacco,GOLDENTOBC
Ganesh Benzoplast Ltd.,Chemicals,GANESHBE
Metroglobal Ltd.,Trading,GLOBABOARD
GTL Ltd.,Telecommunication - Service  Provider,GTL
Godfrey Phillips India Ltd.,Cigarettes-Tobacco,GODFRYPHLP
Godrej Industries Ltd.,Chemicals,GODREJIND
Kansai Nerolac Paints Ltd.,Paints,KANSAINER
Goodricke Group Ltd.,Tea-Coffee,GOODRICKE
Goodyear India Ltd.,Tyres &amp; Allied,GOODYEAR
GTN Industries Ltd.,Textile - Spinning,GTNIND
GHCL Ltd.,Chemicals,GHCL
GFL Ltd.,Chemicals,GFLLIMITED
Gujarat Lease Financing Ltd.,Finance - NBFC,GLFL
HCL Infosystems Ltd.,Trading,HCL-INSYS
HDFC Bank Ltd.,Bank - Private,HDFCBANK
Hero MotoCorp Ltd.,Automobile Two &amp; Three Wheelers,HEROMOTOCO
HFCL Ltd.,Telecommunication - Equipment,HFCL
Himadri Speciality Chemical Ltd.,Chemicals,HSCL
Hindustan Construction Company Ltd.,Engineering - Construction,HCC
Hindustan Oil Exploration Company Ltd.,Oil Exploration,HINDOILEXP
HSIL Ltd.,Ceramics-Marble-Granite-Sanitaryware,HSIL
Hindustan Zinc Ltd.,Metal - Non Ferrous,HINDZINC
NXTDigital Ltd.,TV Broadcasting &amp; Software Production,NXTDIGITAL
HMT Ltd.,Automobiles-Tractors,HMT
Prag Bosimi Synthetics Ltd.,Textile,PRAGBOSIMI
HLV Ltd.,Hotel,HLVLTD
IG Petrochemicals Ltd.,Chemicals,IGPL
India Glycols Ltd.,Chemicals,INDIAGLYCO
India Lease Development Ltd.,Finance - NBFC,INDIALEASE
Margo Finance Ltd.,Finance - NBFC,500206
Indo Rama Synthetics (India) Ltd.,Textile - Manmade  Fibres,INDORAMA
Infosys Ltd.,IT - Software,INFY
Ingersoll-Rand (India) Ltd.,Compressors - Pumps,INGERRAND
Insilco Ltd.,Chemicals,INSILCO
International Travel House Ltd.,Travel Services,INTLTRAVHS
Ion Exchange (India) Ltd.,Engineering - Industrial Equipments,IONEXCHANG
Agro Tech Foods Ltd.,Consumer Food,ATFL
Jain Irrigation Systems Ltd.,Plastic Products,JISLJALEQS
Jasch Industries Ltd.,Textile - Weaving,JASCHIND
JCT Ltd.,Textile,JCT
Consolidated Finvest &amp; Holdings Ltd.,Finance - NBFC,CONSOFINVT
Jindal Poly Films Ltd.,Plastic Products,JINDALPOLY
JSW Steel Ltd.,Steel &amp; Iron Products,JSWSTEEL
Umang Dairies Ltd.,Consumer Food,UMANGDAIRY
Kajaria Ceramics Ltd.,Ceramics-Marble-Granite-Sanitaryware,KAJARIACER
Kakatiya Cement Sugar &amp; Industries Ltd.,Cement &amp; Construction Materials,KAKATCEM
Kalyani Steels Ltd.,Steel &amp; Iron Products,KSL
Kanel Industries Ltd.,Agriculture,KANELOIL
Whirlpool Of India Ltd.,Consumer Durables - Domestic Appliances,WHIRLPOOL
KG Denim Ltd.,Textile - Weaving,KGDENIM
Kinetic Engineering Ltd.,Auto Ancillary,KINETICENG
Kirloskar Brothers Ltd.,Engineering - Industrial Equipments,KIRLOSBROS
Kirloskar Industries Ltd.,Engineering - Industrial Equipments,KIRLOSIND
Kirloskar Ferrous Industries Ltd.,Castings-Forgings,KIRLFER
Envair Electrodyne Ltd.,Engineering - Industrial Equipments,KIRLOSELEC
Kotak Mahindra Bank Ltd.,Bank - Private,KOTAKBANK
Krishna Filament Industries Ltd.,Plastic Products,KRISNAFILA
KSB Ltd.,Engineering - Industrial Equipments,KSB
LG Balakrishnan &amp; Bros Ltd.,Auto Ancillary,LGBBROSLTD
Trent Ltd.,Retailing,TRENT
Lakshmi Machine Works Ltd.,Textile - Machinery,LAXMIMACH
LIC Housing Finance Ltd.,Finance - Housing,LICHSGFIN
Lupin Ltd.,Pharmaceuticals &amp; Drugs,LUPIN
Lyka Labs Ltd.,Pharmaceuticals &amp; Drugs,LYKALABS
The Ramco Cements Ltd.,Cement &amp; Construction Materials,RAMCOCEM
Mafatlal Industries Ltd.,Textile,MAFATLAIND
Maharashtra Seamless Ltd.,Steel &amp; Iron Products,MAHSEAMLES
Maharashtra Scooters Ltd.,Auto Ancillary,MAHSCOOTER
Majestic Auto Ltd.,Electric Equipment,MAJESAUTO
Manali Petrochemicals Ltd.,Chemicals,MANALIPETC
Max Financial Services Ltd.,Finance - Others,MFSL
Mesco Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs,MESCOPHARM
Mid India Industries Ltd.,Textile - Spinning,MIDINDIA
Mirc Electronics Ltd.,Consumer Durables - Electronics,MIRCELECTR
Century Enka Ltd.,Textile,CENTENKA
Lords Chloro Alkali Ltd.,Chemicals,MODIALKALI
SpiceJet Ltd.,Airlines,SPICEJET
Morepen Laboratories Ltd.,Pharmaceuticals &amp; Drugs,MOREPENLAB
MRF Ltd.,Tyres &amp; Allied,MRF
Heidelberg Cement India Ltd.,Cement &amp; Construction Materials,HEIDELBERG
NCC Ltd.,Engineering - Construction,NCC
Vedanta Ltd.,Metal - Non Ferrous,VEDL
Nahar Spinning Mills Ltd.,Textile - Spinning,NAHARSPING
National Peroxide Ltd.,Chemicals,NATPEROXID
Grasim Industries Ltd.,Diversified,GRASIM
Piramal Enterprises Ltd.,Pharmaceuticals &amp; Drugs,PEL
NIIT Ltd.,IT - Education,NIITLTD
Jaykay Enterprises Ltd.,Miscellaneous,JKSYNTHETC
Nirlon Ltd.,Engineering - Construction,NIRLON
Oil &amp; Natural Gas Corporation Ltd.,Oil Exploration,ONGC
Oil Country Tubular Ltd.,Steel &amp; Iron Products,OILCOUNTUB
Oriental Hotels Ltd.,Hotel,ORIENTHOT
Oswal Agro Mills Ltd.,Diversified,OSWALAGRO
Indian Sucrose Ltd.,Sugar,OSWALSUG
Reliance Industries Ltd.,Refineries,RELIANCE
PIL ITALICA Lifestyle Ltd.,Plastic Products,PILITA
Raymond Ltd.,Textile - Weaving,RAYMOND
Pidilite Industries Ltd.,Chemicals,PIDILITIND
Pix Transmissions Ltd.,Rubber  Products,500333
Birla Corporation Ltd.,Diversified,BIRLACORPN
Surya Roshni Ltd.,Diversified,SURYAROSNI
Prime Securities Ltd.,Finance - Stock Broking,PRIMESECU
Prism Johnson Ltd.,Diversified,PRSMJOHNSN
Rain Industries Ltd.,Petrochemicals,RAIN
AMJ Land Holdings Ltd.,Construction - Real Estate,AMJLAND
Punjab Communications Ltd.,Telecommunication - Equipment,PUNJCOMMU
RSWM Ltd.,Textile,RSWM
Rajshree Sugars &amp; Chemicals Ltd.,Sugar,RAJSREESUG
Rallis India Ltd.,Pesticides &amp; Agrochemicals,RALLIS
Shree Rama Newsprint Ltd.,Paper &amp; Paper Products,RAMANEWS
Rama Paper Mills Ltd.,Paper &amp; Paper Products,500357
Rama Petrochemicals Ltd.,Construction - Real Estate,RAMAPETRO
Rapicut Carbides Ltd.,Engineering - Industrial Equipments,500360
Welspun Specialty Solutions Ltd.,Steel &amp; Iron Products,REMIMETAL
Rolta India Ltd.,IT - Software,ROLTA
Rubfila International Ltd.,Rubber  Products,RUBFILINTL
Ruchi Soya Industries Ltd.,Consumer Food,RUCHI
Salora International Ltd.,Trading,SALORAINTL
Jindal Saw Ltd.,Steel &amp; Iron Products,JINDALSAW
JK Lakshmi Cement Ltd.,Cement &amp; Construction Materials,JKLAKSHMI
Shree Cement Ltd.,Cement &amp; Construction Materials,SHREECEM
Shree Krishna Paper Mills &amp; Industries Ltd.,Paper &amp; Paper Products,500388
Reliance Infrastructure Ltd.,Power Generation-Distribution,RELINFRA
Tata Power Company Ltd.,Power Generation-Distribution,TATAPOWER
SPML Infra Ltd.,Engineering - Construction,SPMLINFRA
Sundram Fasteners Ltd.,Trading,SUNDRMFAST
Sunflag Iron And Steel Company Ltd.,Steel &amp; Iron Products,SUNFLAG
Supreme Petrochem Ltd.,Chemicals,SUPPETRO
Swaraj Engines Ltd.,Diesel Engines,SWARAJENG
Tata Elxsi Ltd.,IT - Software,TATAELXSI
ACC Ltd.,Cement &amp; Construction Materials,ACC
Thermax Ltd.,Engineering - Industrial Equipments,THERMAX
Thirumalai Chemicals Ltd.,Chemicals,TIRUMALCHM
Thomas Cook (India) Ltd.,Travel Services,THOMASCOOK
Timex Group India Ltd.,Watches &amp; Accessories,TIMEXWATCH
Tokyo Plast International Ltd.,Plastic Products,TOKYOPLAST
Torrent Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs,TORNTPHARM
TPI India Ltd.,Plastic Products,TPINDIA
Transchem Ltd.,Agriculture,TRANSCHEM
Ambuja Cements Ltd.,Cement &amp; Construction Materials,AMBUJACEM
UTL Industries Ltd.,Trading,500426
Uniphos Enterprises Ltd.,Trading,UNIENTER
Vardhman Holdings Ltd.,Finance - NBFC,VHL
Hindalco Industries Ltd.,Metal - Non Ferrous,HINDALCO
West Coast Paper Mills Ltd.,Paper &amp; Paper Products,WSTCSTPAPR
Hindustan Organic Chemicals Ltd.,Chemicals,HOCL
MPIL Corporation Ltd.,Miscellaneous,MATHPLATT
Pasupati Acrylon Ltd.,Textile - Manmade  Fibres,PASUPTAC
Kore Foods Ltd.,Consumer Food,PHILCORP
Procter &amp; Gamble Hygiene and Health Care Ltd.,Household &amp; Personal Products,PGHH
Mukand Ltd.,Steel &amp; Iron Products,MUKANDLTD
Black Box Ltd.,Telecommunication - Equipment,BBOX
Ucal Fuel Systems Ltd.,Auto Ancillary,UCALFUEL
Harrisons Malayalam Ltd.,Agriculture,HARRMALAYA
The Federal Bank Ltd.,Bank - Private,FEDERALBNK
Tata Steel Ltd.,Steel &amp; Iron Products,TATASTEEL
SKF India Ltd.,Bearings,SKFINDIA
Ashok Leyland Ltd.,Automobiles-Trucks-Lcv,ASHOKLEY
Cummins India Ltd.,Diesel Engines,CUMMINSIND
Tata Communications Ltd.,Telecommunication - Service  Provider,TATACOMM
Abbott India Ltd.,Pharmaceuticals &amp; Drugs,ABBOTINDIA
Bajaj Holdings &amp; Investment Ltd.,Finance - NBFC,BAJAJHLDNG
Bharat Forge Ltd.,Forgings,BHARATFORG
Escorts Ltd.,Automobiles-Tractors,ESCORTS
Hindustan Motors Ltd.,Automobiles - Passenger Cars,HINDMOTORS
Larsen &amp; Toubro Ltd.,Engineering - Construction,LT
Mahindra &amp; Mahindra Ltd.,Automobiles - Passenger Cars,M&M
Bosch Ltd.,Auto Ancillary,BOSCHLTD
Premier Ltd.,Engineering - Industrial Equipments,PREMIER
Bharat Petroleum Corporation Ltd.,Refineries,BPCL
Siemens Ltd.,Electric Equipment,SIEMENS
Tata Motors Ltd.,Automobiles-Trucks-Lcv,TATAMOTORS
Voltas Ltd.,Air Conditioners,VOLTAS
The Great Eastern Shipping Company Ltd.,Shipping,GESHIP
Deepak Fertilisers And Petrochemicals Corporation Ltd.,Fertilizers,DEEPAKFERT
Excel Industries Ltd.,Pesticides &amp; Agrochemicals,EXCELINDUS
Garware Hi-Tech Films Ltd.,Plastic Products,GARWARPOLY
Glaxosmithkline Pharmaceuticals Ltd.,Pharmaceuticals &amp; Drugs,GLAXO
Gujarat Narmada Valley Fertilizers &amp; Chemicals Ltd.,Fertilizers,GNFC
Novartis India Ltd.,Trading,NOVARTIND
Sanofi India Ltd.,Pharmaceuticals &amp; Drugs,SANOFI
Pfizer Ltd.,Pharmaceuticals &amp; Drugs,PFIZER
Gujarat State Fertilizers &amp; Chemicals Ltd.,Fertilizers,GSFC
Hindustan Unilever Ltd.,Household &amp; Personal Products,HINDUNILVR
Akzo Nobel India Ltd.,Paints,AKZOINDIA
Nocil Ltd.,Chemicals,NOCIL
Tata Chemicals Ltd.,Chemicals,TATACHEM
Tamilnadu Petroproducts Ltd.,Petrochemicals,TNPETRO
Zuari Global Ltd.,Trading,ZUARIGLOB
Nestle India Ltd.,Consumer Food,NESTLEIND
Tata Consumer Products Ltd.,Tea-Coffee,TATACONSUM
Asian Paints Ltd.,Paints,ASIANPAINT
Britannia Industries Ltd.,Consumer Food,BRITANNIA
Colgate-Palmolive (India) Ltd.,Household &amp; Personal Products,COLPAL
EIH Ltd.,Hotel,EIHOTEL
The Indian Hotels Company Ltd.,Hotel,INDHOTEL
Castrol India Ltd.,Lubricants,CASTROLIND
ITC Ltd.,Cigarettes-Tobacco,ITC
Apollo Tyres Ltd.,Tyres &amp; Allied,APOLLOTYRE
